,City,Shootings,Lat,Lng
260,"Galt, CA",7.0,38.2546373,-121.2999485
261,"Aurora, CO",8.0,39.7294319,-104.8319195
262,"Kentwood, MI",5.0,42.8694731,-85.6447492
263,"Barberton, OH",4.0,41.012833,-81.6051221
264,"Springdale, MD",4.0,38.9376113,-76.8388602
265,"Columbus, MO",4.0,38.8586209,-93.8907751
266,"Syracuse, NY",10.0,43.0481221,-76.1474244
267,"Columbus, MS",4.0,33.4956744,-88.4272627
268,"Merced County, CA",5.0,37.2009788,-120.7120023
269,"Pelzer, NC",4.0,35.633852,-82.5772336
270,"Orlando, FL",9.0,28.5383355,-81.3792365
271,"Cleaveland, OH",7.0,41.49932,-81.6943605
272,"Chester Township, PA",5.0,39.8517618,-75.4024228
273,"Fort Wayne, IN",9.0,41.079273,-85.1393513
274,"Aguas Buenas, PR",10.0,18.257252,-66.1050908
275,"Fairfield, Ca",4.0,38.2493581,-122.0399663
276,"El Paso, TX",6.0,31.7775757,-106.4424559
277,"Sand City, CA",4.0,36.6171819,-121.8482855
278,"Smithfield, NC",4.0,35.5084935,-78.3394455
279,"Lakeland, FL",4.0,28.0394654,-81.9498042
280,"Margate, FL",4.0,26.2445263,-80.206436
281,"Fort Wayne, In",5.0,41.079273,-85.1393513
282,"Bell, FL",8.0,29.7555125,-82.8626239
283,"Bronx, NY",14.0,40.8370495,-73.8654295
284,"Amarillo, TX",4.0,35.2219971,-101.8312969
285,"Rochester, NY",25.0,43.16103,-77.6109219
286,"MOntgomery County, PA",9.0,40.2290075,-75.3878525
287,"Belle Glade, FL",9.0,26.6845104,-80.6675577
288,"South Memphis, TN",4.0,35.0938569,-90.0466559
289,"Elgin, Il",5.0,42.0354084,-88.2825668
290,"Irvington, NJ",15.0,40.7263249,-74.2286435
291,"Aberdeen, MS",4.0,33.8251139,-88.5436553
292,"Ardmore, OK",5.0,34.1742611,-97.1436254
293,"Harbor Gateway (Los Angeles), CA",4.0,33.8067833,-118.3071031
294,"Newport News, VA",5.0,37.0870821,-76.4730122
295,"Berkeley, MO",4.0,38.7544952,-90.3312256
296,"Bennettsville, SC",5.0,34.6173803,-79.6847814
297,"Denver, CO",8.0,39.7392358,-104.990251
298,"Oak Park, MI",4.0,42.4594803,-83.1827051
299,"Bristol, TN",5.0,36.5951059,-82.1887444
300,"Platte, SD",6.0,43.3869397,-98.8445303
301,"North Rome, GA",4.0,34.257038,-85.1646726
302,"Port Norris, NJ",4.0,39.2459477,-75.035178
303,"Sauk Villiage, IL",4.0,41.4883685,-87.5675414
304,"Reno, NV",8.0,39.5296329,-119.8138027
305,"Mankato, MN",4.0,44.1635775,-93.9993996
306,"Compton, CA",4.0,33.8958492,-118.2200712
307,"Shaler, PA",4.0,40.5309184,-79.9528451
308,"Brookhaven, MS",5.0,31.5790588,-90.4406506
309,"Statesville, NC",4.0,35.7826363,-80.8872959
310,"Gary, IN",15.0,41.5933696,-87.3464271
311,"Harrington, DE",6.0,38.9237244,-75.5777033
312,"Peachtree Corners, GA",5.0,33.9698929,-84.2214551
313,"Hawthorne, CA",4.0,33.9164032,-118.3525748
314,"Johnstown, PA",4.0,40.3267407,-78.9219698
315,"MOntclair, NJ",4.0,40.8259007,-74.2090053
316,"Roy, UT",4.0,41.1616108,-112.0263313
317,"Northhampton, PA",4.0,40.6862075,-75.4968501
318,"North Liberty, IA",4.0,41.739482,-91.6080974
319,"Palo Alto, CA",5.0,37.4418834,-122.1430195
320,"Chester, PA",8.0,39.849557,-75.3557457
321,"Richmond, IN",4.0,39.8289369,-84.8902382
322,"Flint, MI",16.0,43.0125274,-83.6874562
323,"West Broward, FL",4.0,26.190096,-80.365865
324,"Fruitland Township, MI",4.0,43.3295527,-86.357952
325,"Lake Butler, FL",5.0,30.0227391,-82.3395574
326,"Defiance, OH",4.0,41.2844933,-84.3557802
327,"Washington, D.C.",4.0,38.9071923,-77.0368707
328,"Lancaster, CA",4.0,34.6867846,-118.1541632
329,"Tangelo Park, FL",4.0,28.4558386,-81.4459047
330,"Omaha, NE",20.0,41.2523634,-95.9979883
331,"Savannah, GA",10.0,32.0835407,-81.0998342
332,"San Juan, PR",5.0,18.4663338,-66.1057217
333,"Fontana, CA",4.0,34.0922335,-117.435048
334,"Knoxville, TN",8.0,35.9606384,-83.9207392
335,"Orangeburg, SC",4.0,33.4918203,-80.8556476
336,"Cartersville, GA",7.0,34.1650972,-84.7999382
337,"Livermore, CA",5.0,37.6818745,-121.7680088
338,"Cabarrus County, NC",4.0,35.4168123,-80.5882803
339,"Waynesville, IN",4.0,39.114391,-85.893517
340,"New Haven, CT",11.0,41.308274,-72.9278835
341,"Trenton, NJ",9.0,40.2170534,-74.7429384
342,"Marion, NC",4.0,35.6840131,-82.0092745
343,"Lorain, OH",5.0,41.452819,-82.1823746
344,"Douglasville, GA",7.0,33.7514966,-84.7477136
345,"Camden, NJ",4.0,39.9259463,-75.1196199
346,"Antioch, CA",7.0,38.0049214,-121.805789
347,"Erie, PA",6.0,42.1292241,-80.085059
348,"Hopewell, VA",4.0,37.3043154,-77.2872001
349,"Killeen, TX",10.0,31.1171194,-97.7277959
350,"Gastonia, NC",5.0,35.262082,-81.1873005
351,"KS City, MO",31.0,39.0997265,-94.5785667
352,"Miami-Dade, FL",17.0,25.5516034,-80.6326916
353,"Fuquay-Varina, NC",4.0,35.5843235,-78.8000128
354,"Aurora, IL",4.0,41.7605849,-88.3200715
355," Sikeston, MO",4.0,36.876719,-89.5878579
356,"Bogalusia, LA",4.0,30.7910204,-89.8486858
357,"Port Orange, FL",4.0,29.1383165,-80.9956105
358,"Wheat Ridge, CO",4.0,39.766098,-105.0772063
359,"MOneta, VA",4.0,37.1812536,-79.6172536
360,"Beaumont, TX",8.0,30.080174,-94.1265562
361,"Auburn, WA",4.0,47.3073228,-122.2284532
362,"Saginaw, Mi",4.0,43.4194699,-83.9508068
363,"Kokomo, IN",4.0,40.486427,-86.1336033
364,"Manchester, CT",4.0,41.7759301,-72.5215009
365,"Cypress, TX",4.0,29.9716905,-95.6937856
366,"Dayton, OH",11.0,39.7589478,-84.1916069
367,"Wilmington, DE",17.0,39.7390721,-75.5397878
368,"Charlotte, NC",31.0,35.2270869,-80.8431267
369,"Snellville, GA",4.0,33.857328,-84.0199108
370,"Webster, NY",5.0,43.2122851,-77.4299939
371,"Starkville, MS",5.0,33.4503998,-88.8183872
372,"Santa MOnica, CA",10.0,34.0194543,-118.4911912
373,"St Louis, MO",4.0,38.6270025,-90.1994042
374,"Shelby, NC",4.0,35.2923513,-81.5356463
375,"Beloit, WI",4.0,42.5083482,-89.0317765
